ENCODER,DATASET,PREPROC,ALGORITHM,ORDER,ALPHA,PRE,REC,SPE,F1,GEO,IBA
CatBoostEncoder,credit-approval,borderline1,SVM,NONE,NONE,0.69876,0.6594199999999999,0.5925199999999999,0.62008,0.54566,0.30216000000000004
CatBoostEncoder,dataset_31_credit-g,borderline1,ABC,NONE,NONE,0.68474,0.665,0.58594,0.6705400000000001,0.6140000000000001,0.38214
CatBoostEncoder,dataset_31_credit-g,borderline1,DTREE,NONE,NONE,0.6177199999999999,0.588,0.50344,0.5975199999999999,0.53064,0.2853
CatBoostEncoder,dataset_31_credit-g,borderline1,KNN,NONE,NONE,0.6749999999999999,0.5609999999999999,0.6461600000000001,0.5752,0.5906399999999999,0.34608
CatBoostEncoder,dataset_31_credit-g,borderline1,LRG,NONE,NONE,0.7375200000000001,0.647,0.7211,0.6610400000000001,0.6770799999999999,0.45594
CatBoostEncoder,dataset_31_credit-g,borderline1,MLP,NONE,NONE,0.7405,0.648,0.72342,0.66138,0.67718,0.45572
CatBoostEncoder,dataset_31_credit-g,borderline1,RF,NONE,NONE,0.6885199999999999,0.693,0.55794,0.68796,0.59618,0.36326
CatBoostEncoder,dataset_31_credit-g,borderline1,SGD,NONE,NONE,0.60452,0.5329999999999999,0.5579599999999999,0.4379400000000001,0.26666,0.11838
CatBoostEncoder,dataset_31_credit-g,borderline1,SVM,NONE,NONE,0.7387,0.637,0.7244200000000001,0.65072,0.6704,0.44562
CatBoostEncoder,dermatology,borderline1,ABC,NONE,NONE,0.2889,0.39098,0.86736,0.29996,0.34022,0.2826
CatBoostEncoder,dermatology,borderline1,DTREE,NONE,NONE,0.9371,0.93438,0.98722,0.9342400000000002,0.95952,0.91898
CatBoostEncoder,dermatology,borderline1,KNN,NONE,NONE,0.74126,0.71848,0.94802,0.72422,0.8175600000000001,0.67632
CatBoostEncoder,dermatology,borderline1,LRG,NONE,NONE,0.92006,0.9125,0.98396,0.91346,0.9457,0.8945200000000001
CatBoostEncoder,dermatology,borderline1,MLP,NONE,NONE,0.91464,0.9098,0.98332,0.91032,0.94364,0.8918200000000001
CatBoostEncoder,dermatology,borderline1,RF,NONE,NONE,0.97148,0.9699,0.99428,0.96934,0.9813200000000002,0.96278
CatBoostEncoder,dermatology,borderline1,SGD,NONE,NONE,0.6352,0.6096600000000001,0.91994,0.5556399999999999,0.6291399999999999,0.52896
CatBoostEncoder,dermatology,borderline1,SVM,NONE,NONE,0.59358,0.5682400000000001,0.91882,0.5426599999999999,0.65952,0.51766
CatBoostEncoder,dresses-sales,borderline1,ABC,NONE,NONE,0.57206,0.562,0.55408,0.55766,0.54352,0.29748
CatBoostEncoder,dresses-sales,borderline1,DTREE,NONE,NONE,0.5005400000000001,0.48,0.4947200000000001,0.47741999999999996,0.47456,0.22788000000000005
CatBoostEncoder,dresses-sales,borderline1,KNN,NONE,NONE,0.5754199999999999,0.562,0.5646,0.5635999999999999,0.56048,0.31456
CatBoostEncoder,dresses-sales,borderline1,LRG,NONE,NONE,0.5645600000000001,0.562,0.5422600000000001,0.5601999999999999,0.5437799999999999,0.29682
CatBoostEncoder,dresses-sales,borderline1,MLP,NONE,NONE,0.57458,0.5640000000000001,0.5621,0.5658799999999999,0.5614200000000001,0.31592
CatBoostEncoder,dresses-sales,borderline1,RF,NONE,NONE,0.52818,0.5359999999999999,0.49716000000000005,0.5255,0.48686,0.2436
CatBoostEncoder,dresses-sales,borderline1,SGD,NONE,NONE,0.4822,0.47,0.5676,0.37676,0.29416000000000003,0.11616
CatBoostEncoder,dresses-sales,borderline1,SVM,NONE,NONE,0.54842,0.504,0.55542,0.47668,0.4707,0.22502
CatBoostEncoder,heart,borderline1,ABC,NONE,NONE,0.8488399999999999,0.84444,0.8422200000000001,0.8440800000000002,0.8415199999999998,0.7095999999999999
CatBoostEncoder,heart,borderline1,DTREE,NONE,NONE,0.8002,0.7852,0.7731600000000001,0.7814800000000001,0.76928,0.59426
CatBoostEncoder,heart,borderline1,KNN,NONE,NONE,0.5616399999999999,0.5592600000000001,0.5524199999999999,0.5587799999999999,0.5522600000000001,0.30628
CatBoostEncoder,heart,borderline1,LRG,NONE,NONE,0.8146000000000001,0.81114,0.8105600000000001,0.8110799999999999,0.8096,0.6567000000000001
CatBoostEncoder,heart,borderline1,MLP,NONE,NONE,0.7981200000000002,0.78522,0.78982,0.7843800000000001,0.78288,0.61364
CatBoostEncoder,heart,borderline1,RF,NONE,NONE,0.8339000000000001,0.8333400000000001,0.8266600000000001,0.8329599999999999,0.8290000000000001,0.6896
CatBoostEncoder,heart,borderline1,SGD,NONE,NONE,0.26416,0.51112,0.48888,0.34748,0.0,0.0
CatBoostEncoder,heart,borderline1,SVM,NONE,NONE,0.6092000000000001,0.59258,0.6024,0.59104,0.59012,0.35844000000000004
CatBoostEncoder,hepatitis,borderline1,ABC,NONE,NONE,0.8075000000000001,0.7741999999999999,0.5499,0.76912,0.60958,0.3891600000000001
CatBoostEncoder,hepatitis,borderline1,DTREE,NONE,NONE,0.77254,0.75484,0.5801000000000001,0.7609,0.63272,0.4367
CatBoostEncoder,hepatitis,borderline1,KNN,NONE,NONE,0.75024,0.6258199999999999,0.62876,0.66042,0.62492,0.39305999999999996
CatBoostEncoder,hepatitis,borderline1,LRG,NONE,NONE,0.8195399999999999,0.7741999999999999,0.71806,0.7877,0.73934,0.55718
CatBoostEncoder,hepatitis,borderline1,MLP,NONE,NONE,0.75844,0.6645000000000001,0.4840600000000001,0.6338400000000001,0.44246,0.2159
CatBoostEncoder,hepatitis,borderline1,RF,NONE,NONE,0.84536,0.8257999999999999,0.6392800000000001,0.82284,0.70396,0.51468
CatBoostEncoder,hepatitis,borderline1,SGD,NONE,NONE,0.7898000000000001,0.7742,0.5352600000000001,0.7654,0.5828800000000001,0.36374
CatBoostEncoder,hepatitis,borderline1,SVM,NONE,NONE,0.7368,0.57418,0.6157,0.61036,0.5793799999999999,0.34018000000000004
CatBoostEncoder,horse-colic-surgical,borderline1,ABC,NONE,NONE,0.85146,0.8466600000000001,0.80952,0.84534,0.8233,0.68102
CatBoostEncoder,horse-colic-surgical,borderline1,DTREE,NONE,NONE,0.7678800000000001,0.75668,0.73224,0.7574599999999999,0.7398399999999998,0.55216
CatBoostEncoder,horse-colic-surgical,borderline1,KNN,NONE,NONE,0.7482,0.73332,0.7241199999999999,0.7358,0.7257800000000001,0.5283800000000001
CatBoostEncoder,horse-colic-surgical,borderline1,LRG,NONE,NONE,0.6834600000000001,0.7199800000000001,0.6028200000000001,0.68502,0.54346,0.37568
CatBoostEncoder,horse-colic-surgical,borderline1,MLP,NONE,NONE,0.6115999999999999,0.51666,0.53884,0.39716,0.18092000000000005,0.06713999999999999
CatBoostEncoder,horse-colic-surgical,borderline1,RF,NONE,NONE,0.86324,0.86,0.81014,0.8581,0.8297599999999999,0.69408
CatBoostEncoder,horse-colic-surgical,borderline1,SGD,NONE,NONE,0.2987,0.53,0.47,0.37758,0.0,0.0
CatBoostEncoder,horse-colic-surgical,borderline1,SVM,NONE,NONE,0.6220600000000001,0.42668,0.6411800000000001,0.34781999999999996,0.35894000000000004,0.12946
CatBoostEncoder,kddcup-land_vs_portsweep,borderline1,ABC,NONE,NONE,0.99924,0.9990600000000001,0.99998,0.9991,0.9995200000000001,0.9989399999999999
CatBoostEncoder,kddcup-land_vs_portsweep,borderline1,DTREE,NONE,NONE,0.975,0.9868,0.41224,0.9808,0.39952,0.39894
CatBoostEncoder,kddcup-land_vs_portsweep,borderline1,KNN,NONE,NONE,0.99874,0.9981200000000001,0.9999600000000001,0.9983,0.9990400000000002,0.9979
CatBoostEncoder,kddcup-land_vs_portsweep,borderline1,LRG,NONE,NONE,0.99924,0.9990600000000001,0.99998,0.9991,0.9995200000000001,0.9989399999999999
CatBoostEncoder,kddcup-land_vs_portsweep,borderline1,MLP,NONE,NONE,0.99924,0.9990600000000001,0.99998,0.9991,0.9995200000000001,0.9989399999999999
CatBoostEncoder,kddcup-land_vs_portsweep,borderline1,RF,NONE,NONE,0.99924,0.9990600000000001,0.99998,0.9991,0.9995200000000001,0.9989399999999999
CatBoostEncoder,kddcup-land_vs_portsweep,borderline1,SGD,NONE,NONE,0.9897,0.9934,0.6666000000000001,0.99136,0.7252799999999999,0.6702400000000001
CatBoostEncoder,kddcup-land_vs_portsweep,borderline1,SVM,NONE,NONE,0.99874,0.9981200000000001,0.9999600000000001,0.9983,0.9990400000000002,0.9979
CatBoostEncoder,thyroid-hypothyroid,borderline1,ABC,NONE,NONE,0.94954,0.9589,0.19205999999999998,0.94384,0.33799999999999997,0.16204000000000002
CatBoostEncoder,thyroid-hypothyroid,borderline1,DTREE,NONE,NONE,0.76908,0.78072,0.4492200000000001,0.76466,0.4213,0.245
CatBoostEncoder,thyroid-hypothyroid,borderline1,KNN,NONE,NONE,0.98136,0.9778400000000002,0.8920799999999999,0.97902,0.93342,0.8790399999999999
CatBoostEncoder,thyroid-hypothyroid,borderline1,LRG,NONE,NONE,0.92562,0.9544600000000001,0.11034,0.93528,0.16114,0.0706
CatBoostEncoder,thyroid-hypothyroid,borderline1,MLP,NONE,NONE,0.95252,0.9548,0.11078000000000003,0.93594,0.24842,0.07168
CatBoostEncoder,thyroid-hypothyroid,borderline1,RF,NONE,NONE,0.9178200000000001,0.9544600000000001,0.09682,0.93396,0.10152,0.05496
CatBoostEncoder,thyroid-hypothyroid,borderline1,SGD,NONE,NONE,0.97542,0.95888,0.90398,0.96452,0.93022,0.8705400000000001
CatBoostEncoder,thyroid-hypothyroid,borderline1,SVM,NONE,NONE,0.97438,0.95288,0.95984,0.95974,0.9562799999999999,0.9141
CatBoostEncoder,abalone-3_vs_11,borderline2,ABC,NONE,NONE,0.99506,0.99404,0.93522,0.99412,0.96126,0.93304
CatBoostEncoder,abalone-3_vs_11,borderline2,DTREE,NONE,NONE,0.99456,0.9940200000000001,0.8706200000000001,0.99376,0.92558,0.8728
CatBoostEncoder,abalone-3_vs_11,borderline2,KNN,NONE,NONE,0.99224,0.98806,0.99964,0.9893,0.9938,0.98654
CatBoostEncoder,abalone-3_vs_11,borderline2,LRG,NONE,NONE,0.98196,0.9502799999999999,0.9985,0.9613,0.97398,0.94424
CatBoostEncoder,abalone-3_vs_11,borderline2,MLP,NONE,NONE,0.99074,0.98606,0.9995799999999999,0.98744,0.99276,0.98428
CatBoostEncoder,abalone-3_vs_11,borderline2,RF,NONE,NONE,0.99554,0.99404,0.99982,0.99446,0.99692,0.99326
CatBoostEncoder,abalone-3_vs_11,borderline2,SGD,NONE,NONE,0.98864,0.98006,0.9994,0.98274,0.98964,0.97756
CatBoostEncoder,abalone-3_vs_11,borderline2,SVM,NONE,NONE,0.98582,0.97212,0.99916,0.9764799999999999,0.98552,0.96864
CatBoostEncoder,credit-approval,borderline2,ABC,NONE,NONE,0.8622200000000001,0.8579799999999999,0.8501999999999998,0.8571200000000001,0.8514799999999999,0.72634
CatBoostEncoder,credit-approval,borderline2,DTREE,NONE,NONE,0.8315600000000001,0.8231799999999999,0.80488,0.82032,0.80708,0.6532799999999999
CatBoostEncoder,credit-approval,borderline2,KNN,NONE,NONE,0.6937200000000001,0.6927800000000001,0.6855799999999999,0.69248,0.68762,0.47363999999999995
CatBoostEncoder,credit-approval,borderline2,LRG,NONE,NONE,0.8632799999999999,0.8521799999999999,0.8621800000000001,0.85208,0.8542,0.7310799999999998
CatBoostEncoder,credit-approval,borderline2,MLP,NONE,NONE,0.7298199999999999,0.71014,0.7212799999999999,0.7073400000000001,0.70608,0.49998000000000004
CatBoostEncoder,credit-approval,borderline2,RF,NONE,NONE,0.8528800000000001,0.8478199999999999,0.8324999999999999,0.8457000000000001,0.8352400000000001,0.70028
CatBoostEncoder,credit-approval,borderline2,SGD,NONE,NONE,0.5999800000000001,0.5666599999999999,0.5958399999999999,0.55992,0.5625199999999999,0.31662
CatBoostEncoder,credit-approval,borderline2,SVM,NONE,NONE,0.7026600000000001,0.66376,0.5979599999999999,0.62612,0.55392,0.3114
CatBoostEncoder,dataset_31_credit-g,borderline2,ABC,NONE,NONE,0.6973600000000001,0.639,0.6224399999999999,0.64442,0.60938,0.37378
CatBoostEncoder,dataset_31_credit-g,borderline2,DTREE,NONE,NONE,0.6097199999999999,0.5740000000000001,0.5012399999999999,0.58324,0.51478,0.27376
CatBoostEncoder,dataset_31_credit-g,borderline2,KNN,NONE,NONE,0.6894800000000001,0.579,0.6653,0.59432,0.6120000000000001,0.37152
CatBoostEncoder,dataset_31_credit-g,borderline2,LRG,NONE,NONE,0.73892,0.6479999999999999,0.72342,0.66204,0.67872,0.45786
CatBoostEncoder,dataset_31_credit-g,borderline2,MLP,NONE,NONE,0.7376199999999999,0.6459999999999999,0.7206600000000001,0.65958,0.6754600000000001,0.45396000000000003
CatBoostEncoder,dataset_31_credit-g,borderline2,RF,NONE,NONE,0.6822199999999999,0.6859999999999999,0.5473,0.6783399999999999,0.5785,0.34701999999999994
CatBoostEncoder,dataset_31_credit-g,borderline2,SGD,NONE,NONE,0.62356,0.6599999999999999,0.4923799999999999,0.59046,0.28638,0.17156
CatBoostEncoder,dataset_31_credit-g,borderline2,SVM,NONE,NONE,0.7297,0.632,0.7127600000000001,0.6462199999999999,0.6638,0.43754
CatBoostEncoder,dermatology,borderline2,ABC,NONE,NONE,0.4874,0.4915,0.9380200000000001,0.4562600000000001,0.50376,0.45278
CatBoostEncoder,dermatology,borderline2,DTREE,NONE,NONE,0.92154,0.9125,0.9847,0.9144399999999999,0.9469200000000001,0.8939599999999999
CatBoostEncoder,dermatology,borderline2,KNN,NONE,NONE,0.7561000000000001,0.73216,0.95086,0.7380800000000001,0.8282400000000001,0.69038
CatBoostEncoder,dermatology,borderline2,LRG,NONE,NONE,0.91224,0.8961,0.98126,0.8974799999999999,0.9350799999999999,0.8748400000000001
CatBoostEncoder,dermatology,borderline2,MLP,NONE,NONE,0.91302,0.90436,0.9826600000000001,0.90628,0.94092,0.8852800000000001
CatBoostEncoder,dermatology,borderline2,RF,NONE,NONE,0.96372,0.95894,0.9924799999999999,0.95814,0.97404,0.95
CatBoostEncoder,dermatology,borderline2,SGD,NONE,NONE,0.5559999999999999,0.5251,0.92112,0.47294,0.54286,0.44386000000000003
CatBoostEncoder,dermatology,borderline2,SVM,NONE,NONE,0.5617599999999999,0.5409200000000001,0.91616,0.51198,0.6351600000000001,0.48804
CatBoostEncoder,dresses-sales,borderline2,ABC,NONE,NONE,0.5586,0.532,0.5533600000000001,0.5249199999999999,0.52152,0.27402
CatBoostEncoder,dresses-sales,borderline2,DTREE,NONE,NONE,0.54368,0.5439999999999999,0.51478,0.5384399999999999,0.5128199999999999,0.2641
CatBoostEncoder,dresses-sales,borderline2,KNN,NONE,NONE,0.5579,0.5459999999999999,0.54514,0.5476800000000001,0.54294,0.29522
CatBoostEncoder,dresses-sales,borderline2,LRG,NONE,NONE,0.5894600000000001,0.586,0.5662,0.58278,0.56482,0.32042000000000004
CatBoostEncoder,dresses-sales,borderline2,MLP,NONE,NONE,0.5991799999999999,0.596,0.5774,0.5946600000000001,0.58004,0.33718000000000004
CatBoostEncoder,dresses-sales,borderline2,RF,NONE,NONE,0.5453600000000001,0.5479999999999999,0.5163800000000001,0.5341199999999999,0.4971000000000001,0.2522
CatBoostEncoder,dresses-sales,borderline2,SGD,NONE,NONE,0.56592,0.512,0.53232,0.42018,0.3133,0.10996000000000004
CatBoostEncoder,dresses-sales,borderline2,SVM,NONE,NONE,0.5344399999999999,0.5,0.5407,0.48134,0.4776400000000001,0.23106
CatBoostEncoder,heart,borderline2,ABC,NONE,NONE,0.82258,0.8185399999999999,0.8164999999999999,0.8184000000000001,0.8160999999999999,0.6681999999999999
CatBoostEncoder,heart,borderline2,DTREE,NONE,NONE,0.7873600000000001,0.77778,0.7722200000000001,0.7763199999999999,0.7699600000000001,0.5976400000000001
CatBoostEncoder,heart,borderline2,KNN,NONE,NONE,0.54898,0.54076,0.54424,0.54078,0.5393600000000001,0.29179999999999995
CatBoostEncoder,heart,borderline2,LRG,NONE,NONE,0.82562,0.8222400000000001,0.8227799999999998,0.8222400000000001,0.82142,0.6754800000000001
CatBoostEncoder,heart,borderline2,MLP,NONE,NONE,0.7810600000000001,0.7703599999999999,0.77462,0.76988,0.76868,0.5915999999999999
CatBoostEncoder,heart,borderline2,RF,NONE,NONE,0.8346399999999999,0.8333400000000001,0.825,0.8325400000000001,0.8272400000000001,0.6874600000000001
CatBoostEncoder,heart,borderline2,SGD,NONE,NONE,0.34218000000000004,0.54076,0.4909,0.41014,0.11328,0.06434
CatBoostEncoder,heart,borderline2,SVM,NONE,NONE,0.59928,0.5851599999999999,0.59482,0.5835999999999999,0.58314,0.35124
CatBoostEncoder,hepatitis,borderline2,ABC,NONE,NONE,0.8305,0.80002,0.59724,0.7925399999999999,0.6449600000000001,0.4391
CatBoostEncoder,hepatitis,borderline2,DTREE,NONE,NONE,0.8059799999999999,0.7677400000000001,0.6195799999999999,0.7696799999999999,0.65218,0.44186
CatBoostEncoder,hepatitis,borderline2,KNN,NONE,NONE,0.73314,0.5741799999999999,0.62012,0.6137,0.5926600000000001,0.35506
CatBoostEncoder,hepatitis,borderline2,LRG,NONE,NONE,0.8352799999999999,0.7677400000000001,0.76242,0.7845000000000001,0.7591000000000001,0.5828599999999999
CatBoostEncoder,hepatitis,borderline2,MLP,NONE,NONE,0.7469600000000001,0.6645200000000001,0.61638,0.6792,0.6248400000000001,0.42758
CatBoostEncoder,hepatitis,borderline2,RF,NONE,NONE,0.8232999999999999,0.80002,0.5773,0.7955599999999999,0.6488,0.43313999999999997
CatBoostEncoder,hepatitis,borderline2,SGD,NONE,NONE,0.73134,0.56128,0.56576,0.5527200000000001,0.41104,0.2137
CatBoostEncoder,hepatitis,borderline2,SVM,NONE,NONE,0.7303,0.56776,0.61826,0.6060399999999999,0.58624,0.34781999999999996
CatBoostEncoder,horse-colic-surgical,borderline2,ABC,NONE,NONE,0.8236600000000001,0.82334,0.77174,0.8202,0.78978,0.6286
CatBoostEncoder,horse-colic-surgical,borderline2,DTREE,NONE,NONE,0.7944800000000001,0.7933399999999999,0.75308,0.79168,0.76694,0.5942999999999999
CatBoostEncoder,horse-colic-surgical,borderline2,KNN,NONE,NONE,0.7552800000000001,0.74332,0.72568,0.7444200000000001,0.7295999999999999,0.53528
CatBoostEncoder,horse-colic-surgical,borderline2,LRG,NONE,NONE,0.6782999999999999,0.71332,0.59108,0.67738,0.5326799999999999,0.3612
CatBoostEncoder,horse-colic-surgical,borderline2,MLP,NONE,NONE,0.46006,0.49332,0.52512,0.36674,0.12356,0.04594
CatBoostEncoder,horse-colic-surgical,borderline2,RF,NONE,NONE,0.8672000000000001,0.8666799999999999,0.8177,0.8644999999999999,0.8371999999999999,0.7058
CatBoostEncoder,horse-colic-surgical,borderline2,SGD,NONE,NONE,0.35204,0.58332,0.4166800000000001,0.4364800000000001,0.0,0.0
CatBoostEncoder,horse-colic-surgical,borderline2,SVM,NONE,NONE,0.53474,0.51668,0.52736,0.41496000000000005,0.21994,0.08224000000000001
CatBoostEncoder,kddcup-land_vs_portsweep,borderline2,ABC,NONE,NONE,0.99924,0.9990600000000001,0.99998,0.9991,0.9995200000000001,0.9989399999999999
CatBoostEncoder,kddcup-land_vs_portsweep,borderline2,DTREE,NONE,NONE,0.98248,0.9905799999999999,0.60846,0.98644,0.5995199999999999,0.5989399999999999
CatBoostEncoder,kddcup-land_vs_portsweep,borderline2,KNN,NONE,NONE,0.99874,0.9981200000000001,0.9999600000000001,0.9983,0.9990400000000002,0.9979
CatBoostEncoder,kddcup-land_vs_portsweep,borderline2,LRG,NONE,NONE,0.99924,0.9990600000000001,0.99998,0.9991,0.9995200000000001,0.9989399999999999
CatBoostEncoder,kddcup-land_vs_portsweep,borderline2,MLP,NONE,NONE,0.99924,0.9990600000000001,0.99998,0.9991,0.9995200000000001,0.9989399999999999
CatBoostEncoder,kddcup-land_vs_portsweep,borderline2,RF,NONE,NONE,0.99924,0.9990600000000001,0.99998,0.9991,0.9995200000000001,0.9989399999999999
CatBoostEncoder,kddcup-land_vs_portsweep,borderline2,SGD,NONE,NONE,0.99718,0.99718,0.8628199999999999,0.997,0.9252799999999999,0.8702400000000001
CatBoostEncoder,kddcup-land_vs_portsweep,borderline2,SVM,NONE,NONE,0.99874,0.9981200000000001,0.9999600000000001,0.9983,0.9990400000000002,0.9979
CatBoostEncoder,thyroid-hypothyroid,borderline2,ABC,NONE,NONE,0.9482799999999999,0.95698,0.14848,0.93998,0.28586,0.11388000000000002
CatBoostEncoder,thyroid-hypothyroid,borderline2,DTREE,NONE,NONE,0.7534799999999999,0.77504,0.32964000000000004,0.7537200000000001,0.24074,0.11306
CatBoostEncoder,thyroid-hypothyroid,borderline2,KNN,NONE,NONE,0.97122,0.9440200000000001,0.93448,0.9530200000000001,0.93886,0.8823799999999999
CatBoostEncoder,thyroid-hypothyroid,borderline2,LRG,NONE,NONE,0.9465600000000001,0.95636,0.14192000000000002,0.9392,0.27968000000000004,0.10658
CatBoostEncoder,thyroid-hypothyroid,borderline2,MLP,NONE,NONE,0.9402200000000001,0.95352,0.08557999999999999,0.9331,0.17214000000000002,0.043120000000000006
CatBoostEncoder,thyroid-hypothyroid,borderline2,RF,NONE,NONE,0.92398,0.9532,0.0727,0.93176,0.1024,0.02842
CatBoostEncoder,thyroid-hypothyroid,borderline2,SGD,NONE,NONE,0.96814,0.9399200000000001,0.7058,0.9475,0.7917,0.6573
CatBoostEncoder,thyroid-hypothyroid,borderline2,SVM,NONE,NONE,0.97114,0.93488,0.9716,0.9467399999999999,0.95296,0.9050799999999999
CatBoostEncoder,abalone-3_vs_11,geometric_smote,ABC,NONE,NONE,0.9985,0.998,0.9999399999999999,0.99814,0.99896,0.99774
CatBoostEncoder,abalone-3_vs_11,geometric_smote,DTREE,NONE,NONE,0.997,0.996,0.9998799999999999,0.9962799999999999,0.99792,0.99548
CatBoostEncoder,abalone-3_vs_11,geometric_smote,KNN,NONE,NONE,1.0,1.0,1.0,1.0,1.0,1.0
CatBoostEncoder,abalone-3_vs_11,geometric_smote,LRG,NONE,NONE,0.99074,0.98604,0.9995799999999999,0.98742,0.99276,0.98426
CatBoostEncoder,abalone-3_vs_11,geometric_smote,MLP,NONE,NONE,0.997,0.996,0.9998799999999999,0.9962799999999999,0.99792,0.99548
CatBoostEncoder,abalone-3_vs_11,geometric_smote,RF,NONE,NONE,0.997,0.996,0.9998799999999999,0.9962799999999999,0.99792,0.99548
CatBoostEncoder,abalone-3_vs_11,geometric_smote,SGD,NONE,NONE,0.997,0.996,0.9998799999999999,0.9962799999999999,0.99792,0.99548
CatBoostEncoder,abalone-3_vs_11,geometric_smote,SVM,NONE,NONE,0.99462,0.9920200000000001,0.99976,0.9927799999999999,0.9958600000000001,0.991
CatBoostEncoder,credit-approval,geometric_smote,ABC,NONE,NONE,0.8573000000000001,0.8536199999999999,0.84088,0.8524200000000001,0.8441799999999999,0.7138
CatBoostEncoder,credit-approval,geometric_smote,DTREE,NONE,NONE,0.79206,0.78986,0.7735399999999999,0.78774,0.7771399999999999,0.60678
CatBoostEncoder,credit-approval,geometric_smote,KNN,NONE,NONE,0.6904,0.6913199999999999,0.6739200000000001,0.68896,0.6775399999999999,0.46021999999999996
CatBoostEncoder,credit-approval,geometric_smote,LRG,NONE,NONE,0.76622,0.7652399999999999,0.75216,0.7639600000000001,0.7557400000000001,0.57392
CatBoostEncoder,credit-approval,geometric_smote,MLP,NONE,NONE,0.7154,0.7014600000000001,0.7135,0.70096,0.70304,0.49514
CatBoostEncoder,credit-approval,geometric_smote,RF,NONE,NONE,0.8469,0.8405799999999999,0.8365600000000001,0.83988,0.8356600000000001,0.69934
CatBoostEncoder,credit-approval,geometric_smote,SGD,NONE,NONE,0.5731200000000001,0.5377,0.57806,0.5212,0.5209600000000001,0.27326
CatBoostEncoder,credit-approval,geometric_smote,SVM,NONE,NONE,0.6956199999999999,0.6536199999999999,0.5854999999999999,0.6122400000000001,0.5354,0.28982
CatBoostEncoder,dataset_31_credit-g,geometric_smote,ABC,NONE,NONE,0.7001999999999999,0.6920000000000001,0.5861,0.6922400000000001,0.6210600000000001,0.39062
CatBoostEncoder,dataset_31_credit-g,geometric_smote,DTREE,NONE,NONE,0.6701600000000001,0.643,0.5727,0.6498800000000001,0.596,0.35932
CatBoostEncoder,dataset_31_credit-g,geometric_smote,KNN,NONE,NONE,0.6854600000000001,0.659,0.5967,0.6650400000000001,0.6146800000000001,0.3829400000000001
CatBoostEncoder,dataset_31_credit-g,geometric_smote,LRG,NONE,NONE,0.74452,0.662,0.7275200000000001,0.67574,0.6893800000000001,0.47273999999999994
CatBoostEncoder,dataset_31_credit-g,geometric_smote,MLP,NONE,NONE,0.7437999999999999,0.6689999999999999,0.72292,0.68258,0.6920000000000001,0.4769399999999999
CatBoostEncoder,dataset_31_credit-g,geometric_smote,RF,NONE,NONE,0.6892800000000001,0.7120000000000001,0.488,0.68496,0.5238200000000001,0.28394
CatBoostEncoder,dataset_31_credit-g,geometric_smote,SGD,NONE,NONE,0.72034,0.5740000000000001,0.6841,0.5560200000000001,0.5541799999999999,0.32374
CatBoostEncoder,dataset_31_credit-g,geometric_smote,SVM,NONE,NONE,0.72448,0.6359999999999999,0.69734,0.64932,0.6583399999999999,0.43126
CatBoostEncoder,dermatology,geometric_smote,ABC,NONE,NONE,0.5290199999999999,0.59008,0.9274,0.52996,0.5961,0.5291399999999999
